LocationID,zone,borough,longitude,latitude
1,Newark Airport,EWR,-74.17400027276302,40.69183120640153
2,Jamaica Bay,Queens,-73.83129854302207,40.61674529165981
3,Allerton/Pelham Gardens,Bronx,-73.84742223236715,40.864473684775454
4,Alphabet City,Manhattan,-73.97696825691766,40.7237521415848
5,Arden Heights,Staten Island,-74.18848410184924,40.552659286945634
6,Arrochar/Fort Wadsworth,Staten Island,-74.0717705589513,40.60032414603461
7,Astoria,Queens,-73.9196943194606,40.76149256216373
8,Astoria Park,Queens,-73.92308615750753,40.778558653750736
9,Auburndale,Queens,-73.7879488777789,40.75103502557229
10,Baisley Park,Queens,-73.79098635986959,40.678953310115254
11,Bath Beach,Brooklyn,-74.00748815801177,40.604272840030774
12,Battery Park,Manhattan,-74.01556351255897,40.7029458349847
13,Battery Park City,Manhattan,-74.01607915192925,40.712038157074474
14,Bay Ridge,Brooklyn,-74.02989237418788,40.624834923608205
15,Bay Terrace/Fort Totten,Queens,-73.78597227877705,40.78333304726096
16,Bayside,Queens,-73.77342181890134,40.76273837544242
17,Bedford,Brooklyn,-73.94990503507508,40.69150749488065
18,Bedford Park,Bronx,-73.89018328872034,40.867682456075414
19,Bellerose,Queens,-73.72665537528711,40.73548677976339
20,Belmont,Bronx,-73.88586748106962,40.857779675441584
21,Bensonhurst East,Brooklyn,-73.98353709672233,40.601429439835165
22,Bensonhurst West,Brooklyn,-73.99525857986231,40.612218257805615
23,Bloomfield/Emerson Hill,Staten Island,-74.1708868815526,40.60644770102759
24,Bloomingdale,Manhattan,-73.96547951516968,40.80197049389964
25,Boerum Hill,Brooklyn,-73.98611382213664,40.68563374132064
26,Borough Park,Brooklyn,-73.98866123078288,40.63094965524548
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.90690832237595,40.55913327946765
28,Briarwood/Jamaica Hills,Queens,-73.80872901637518,40.71159635794509
29,Brighton Beach,Brooklyn,-73.96121676866852,40.58092197193381
30,Broad Channel,Queens,-73.82192695679416,40.60368744213567
31,Bronx Park,Bronx,-73.87547595053037,40.8577466809159
32,Bronxdale,Bronx,-73.8649009987672,40.86400220602363
33,Brooklyn Heights,Brooklyn,-73.99525011996623,40.69579822121126
34,Brooklyn Navy Yard,Brooklyn,-73.97118869233036,40.70085573851714
35,Brownsville,Brooklyn,-73.91025783136135,40.664003117925986
36,Bushwick North,Brooklyn,-73.91771053131578,40.70052219951919
37,Bushwick South,Brooklyn,-73.92224002165723,40.69499431844211
38,Cambria Heights,Queens,-73.73555427058822,40.69434146723171
39,Canarsie,Brooklyn,-73.8997349566939,40.63803713911706
40,Carroll Gardens,Brooklyn,-73.99595619089148,40.679199014097094
41,Central Harlem,Manhattan,-73.95129200243511,40.80433394979461
42,Central Harlem North,Manhattan,-73.94077166756264,40.818257861119235
